year,month,year_month,total_rainfall,no_of_rainy_days,mean_rh,mean_sunshine_hrs,mean_temp,wet_bulb_temperature,1rm_cons,3rm_cons,5rm_cons,condo_cons,landed_cons,public_cons,private_cons
2021,11,2021-11,312.4,23.0,81.7,4.9,27.6,25.111944444444443,179.5,277.5,466.4,554.9,1175.2,366.5,668.2
2021,12,2021-12,119.6,15.0,79.7,5.4,27.7,24.95604838709677,180.4,279.6,468.2,554.9,1196.2,369.1,668.8
2022,01,2022-01,99.8,9.0,77.4,8.3,27.4,24.380913978494625,173.8,268.0,449.0,510.9,1158.2,354.3,626.1
2022,02,2022-02,175.0,16.0,80.3,5.9,27.3,24.64985119047619,171.6,268.4,453.2,520.2,1190.3,355.1,639.6
2022,03,2022-03,163.2,21.0,79.2,6.4,28.1,25.253225806451614,161.2,253.8,425.2,501.7,1127.8,334.5,613.4
2022,04,2022-04,239.6,18.0,80.0,5.2,28.1,25.375416666666666,174.9,274.7,456.8,542.6,1182.7,360.1,656.5
2022,05,2022-05,102.0,12.0,76.5,6.7,29.2,25.881317204301077,181.6,284.8,479.5,583.1,1270.4,376.3,705.2
2022,06,2022-06,211.8,17.0,79.1,4.7,27.9,25.118055555555557,190.1,294.2,495.8,586.5,1268.8,388.4,707.5
2022,07,2022-07,145.2,16.0,76.8,6.2,28.6,25.43911290322581,177.3,274.9,461.0,538.5,1182.4,362.5,652.2
2022,08,2022-08,141.4,15.0,77.4,5.5,28.1,25.072311827956987,178.7,280.1,468.3,540.2,1215.7,368.2,659.2
